Symbol,Stock Postion,Change Pct
DAX*,"18,633.11",UNCH
FTSE*,"8,278.44",+0.06%
CAC*,"7,449.44",UNCH
FTSE MIB*,"33,569.98",0.00%
STOXX600*,515.11,UNCH
